Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
CHCL,Chilime Hydro power Company Limited,10,2,12,2024-12-17,2024-12-31,2080/2081
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,14,0.7368,14.7368,2024-11-24,2024-12-31,2080/2081
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-12-23,2024-12-31,2080/2081
ADBL,Agricultural Development Bank Limited,3,7.53,10.53,2024-12-19,2024-12-31,2080/2081
MDB,Miteri Development Bank Limited,9.5079,0.5004,10.0083,2024-11-24,2024-12-31,2080/2081
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,8,7,15,2024-12-05,2024-12-31,2080/2081
SHIVM,Shivam Cements Limited,8.55,0.45,9,2024-12-16,2025-01-01,2080/2081
ICFC,ICFC Finance Limited,0,5.2632,5.2632,2024-12-10,2025-01-01,2080/2081
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,13.3,0.7,14,2024-12-02,2025-01-01,2080/2081
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,9.5,0.5,10,2024-12-13,2025-01-01,2080/2081
LSL,Laxmi Sunrise Bank Limited,5,0.26,5.26,2024-12-01,2025-01-01,2080/2081
SADBL,Shangrila Development Bank Limited,3.65,0.19,3.84,2024-12-18,2025-01-01,2080/2081
BPCL,Butwal Power Company Limited,,5,5,2024-12-19,2025-01-02,2080/2081
NTC,Nepal Doorsanchar Company Limited,0,30,30,2024-12-22,2025-01-02,2080/2081
GBBL,Garima Bikas Bank Limited,,5,5,2024-12-20,2025-01-02,2080/2081
NIIFL,Nepal Infrastructures Investment Fund Limited,4.88,0.27,5.15,2024-12-19,2025-01-03,2080/2081
KPCL,Kalika Power Company Limited,7,0.3684,7.3684,2024-12-23,2025-01-03,2080/2081
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,9.5,0.5,10,2024-12-11,2025-01-03,2080/2081
SIFC,Shree Investment Finance Company Limited,1.8659,0.0982,1.9641,2024-12-04,2025-01-03,2080/2081
HDL,Himalayan Distillery Limited,15,5,20,2024-12-09,2025-01-03,2080/2081
BNT,Bottlers Nepal (Terai) Limited,,50,50,2024-11-21,2025-01-03,2080/2081
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,7.5,0.3947,7.8947,2024-12-17,2025-01-03,2080/2081
LBBL,Lumbini Bikas Bank Limited,3,4,7,2024-12-20,2025-01-03,2080/2081
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,6,0.9624,6.9624,2024-11-20,2025-01-05,2080/2081
CIT,Citizen Investment Trust,7,6,13,2024-12-22,2025-01-06,2080/2081
NLIC,Nepal Life Insurance Company Limited,10,11.05,21.05,2025-01-12,2025-01-23,2080/2081
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5,0.2632,5.2632,2025-01-09,2025-02-06,2080/2081
HLI,Himalayan Life Insurance Limited,14,,14,2025-01-19,2025-02-07,2079/2080
SICL,Shikhar Insurance Company Limited,10,0.5263,10.5263,2025-01-31,2025-02-12,2080/2081
SPIL,Siddhartha Premier Insurance Limited,,30,30,2025-02-04,2025-02-14,2080/2081
IGI,IGI Prudential Insurance Limited,,9.7368,9.7368,2025-02-06,2025-02-24,2080/2081
ILI,IME Life Insurance Company Limited,,21.0526,21.0526,2025-02-12,2025-02-27,2080/2081
HEI,Himalayan Everest Insurance Limited,,8.75,8.75,2025-02-12,2025-02-27,2080/2081
UMRH,United Idi-Mardi and R.B. Hydropower Limited,4,0.211,4.211,2024-11-22,2025-03-07,2080/2081
CLI,Citizen Life Insurance Company Limited,26.9841,1.4202,28.4043,2025-02-21,2025-03-12,2080/2081
NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2024-12-18,2025-03-12,2080/2081
STC,Salt Trading Corporation Limited,0,10,10,2025-01-12,2025-03-14,2080/2081
NICL,Nepal Insurance Company Limited,15,0.79,15.79,2025-03-09,2025-03-20,2080/2081
SGIC,Sanima GIC Insurance Limited,7.5,0.3947,7.8947,2025-02-07,2025-03-21,2080/2081
GRDBL,Green Development Bank Limited,5.75,0.3027,6.0527,2024-12-18,2025-03-28,2080/2081
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,5,0.2632,5.2632,2025-03-21,2025-04-24,2080/2081
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,13.5,0.7105,14.2105,2025-03-06,2025-04-24,2080/2081
SALICO,Sagarmatha Lumbini Insurance Company Limited,0,15,15,2025-04-11,2025-04-30,2080/2081
NIL,Neco Insurance Limited,7,0.3684,7.3684,2025-04-24,2025-05-13,2080/2081
HRL,Himalayan Reinsurance Limited,4.5,0.24,4.74,2025-05-06,2025-05-25,2080/2081
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,8,0.421,8.421,2025-05-02,2025-05-30,2080/2081
NLICL,National Life Insurance Company Limited,5,10,15,2025-05-14,2025-06-05,2080/2081
NLG,NLG Insurance Company Limited,2.5,0.1316,2.6316,2025-05-11,2025-06-05,2080/2081
RNLI,Reliable Nepal Life Insurance Limited,12,0.6315,12.6315,2025-05-07,2025-06-09,2080/2081
HLI,Himalayan Life Insurance Limited,,8,8,2025-05-28,2025-06-11,2080/2081
LICN,Life Insurance Corporation Nepal Limited,10,0.526,10.526,2025-05-15,2025-06-30,2080/2081
UAIL,United Ajod Insurance Limited,10,0.5263,10.5263,2025-06-19,2025-07-03,2080/2081
ALICL,Asian Life Insurance Company Limited,5.1,0.2684,5.3684,2025-06-09,2025-07-04,2080/2081
PRIN,Prabhu Insurance Company Limited,18,0.9474,18.9474,2025-06-23,2025-07-18,2080/2081
NIBLSF,NIBL Sahabhagita Fund,,7,7,2025-08-08,2025-07-21,2081/2082
SSIS,Siddhartha Systematic Investment Scheme,,8,8,2025-07-28,2025-07-27,2081/2082
KSLY,Kumari Sunaulo Lagani Yojana,,8.88,8.88,2025-07-30,2025-07-29,2081/2082
SLK,Shubha Laxmi Kosh,,16,16,2025-07-28,2025-07-29,2081/2082
NMBSBF,NMB Saral Bachat Fund - E,,4.27,4.27,2025-08-01,2025-07-31,2081/2082
NADDF,NIC Asia Dynamic Debt Fund,,5.55,5.55,2025-08-03,2025-08-03,2081/2082
NFCF,Nabil Flexi Cap Fund,,9,9,2025-08-08,2025-08-08,2081/2082
LVF2,Laxmi Value Fund-II,,15,15,2025-07-28,2025-08-11,2081/2082
SBCF,Sunrise Bluechip Fund,,19,19,2025-07-28,2025-08-11,2081/2082
GSY,Garima Samriddhi Yojana,,5.1,5.1,2025-08-01,2025-08-12,2081/2082
NICBF,NIC ASIA Balanced Fund,,9.9,9.9,2025-08-03,2025-08-14,2081/2082
NICFC,NIC Asia Flexi Cap Fund,,10.1,10.1,2025-08-03,2025-08-14,2081/2082
NICSF,NIC Asia Select-30,,8.65,8.65,2025-08-03,2025-08-14,2081/2082
MNMF1,Muktinath Mutual Fund 1,,3.8,3.8,2025-08-06,2025-08-15,2081/2082
SFMF,Sunrise First Mutual Fund,,14,14,2025-08-06,2025-08-19,2081/2082
SFEF,Sunrise Focused Equity Fund,,13.5,13.5,2025-08-06,2025-08-19,2081/2082
CBILSL,Citizens Share Broker Limited,,15.79,15.79,2025-08-07,2025-08-19,2081/2082
LUK,Laxmi Unnati Kosh,,20,20,2025-08-06,2025-08-19,2081/2082
SIGS2,Siddhartha Investment Growth Scheme-2,,20,20,2025-08-11,2025-08-22,2081/2082
SEF,Siddhartha Equity Fund,,20,20,2025-08-11,2025-08-22,2081/2082
SAGF,Sanima Growth Fund,,15.79,15.79,2025-08-15,2025-08-22,2081/2082
SIGS3,Siddhartha Investment Growth Scheme 3,,17,17,2025-08-11,2025-08-22,2081/2082
SLCF,Sanima Large Cap Fund,,21.05,21.05,2025-08-15,2025-08-22,2081/2082
KDBY,Kumari Dhanabriddhi Yojana,,10.5,10.5,2025-08-14,2025-08-25,2081/2082
RMF2,RBB Mutual Fund 2,,13,13,2025-08-15,2025-08-25,2081/2082
RMF1,RBB Mutual Fund 1,,20,20,2025-08-15,2025-08-25,2081/2082
KSY,Kumari Sabal Yojana,,9,9,2025-08-14,2025-08-25,2081/2082
KEF,Kumari Equity Fund,,11.5,11.5,2025-08-14,2025-08-25,2081/2082
NMB50,NMB 50,,15,15,2025-08-19,2025-08-29,2081/2082
HATHY,Hathway Investment Nepal Limited,12,0.632,12.632,2025-08-19,2025-08-29,2081/2082
C30MF,Citizens Super 30 Mutual Fund,,12.75,12.75,2025-08-18,2025-08-29,2081/2082
NSIF2,NMB Sulav Investment Fund - II,,15,15,2025-08-19,2025-08-29,2081/2082
CMF2,Citizens Mutual Fund - 2,,8.25,8.25,2025-08-18,2025-08-29,2081/2082
PSF,Prabhu Select Fund,,12,12,2025-08-15,2025-08-31,2081/2082
PRSF,Prabhu Smart Fund,,10,10,2025-08-15,2025-08-31,2081/2082
NBF3,Nabil Balanced Fund III,,13,13,2025-08-29,2025-09-07,2081/2082
NBF2,Nabil Balanced Fund - 2,,13,13,2025-08-29,2025-09-07,2081/2082
HHEL,Hilton Hydro Energy Limited,,5.263,5.263,2025-08-28,2025-09-09,2081/2082
AELTD,Aashutosh Energy Limited,,15.7895,15.7895,2025-08-28,2025-09-09,2081/2082
SRL,Snow Rivers Limited,,4.211,4.211,2025-08-28,2025-09-09,2081/2082
GIBF1,Global IME Balanced Fund-I,,12,12,2025-08-26,2025-09-12,2081/2082
NIBLGF,NIBL Growth Fund,,10,10,2025-09-04,2025-09-12,2081/2082
MMF1,Mega Mutual Fund - 1,,11.75,11.75,2025-09-04,2025-09-12,2081/2082
H8020,Himalayan 80-20,,16.16,16.16,2025-08-31,2025-09-12,2081/2082
MBL,Machhapuchchhre Bank Limited,4,4,8,2025-08-29,2025-09-12,2081/2082
NIBSF2,NIBL Samriddhi Fund - 2,,7,7,2025-09-04,2025-09-12,2081/2082
UPCL,Universal Power Company Limited,9,0.4737,9.4737,2025-09-15,2025-09-24,2081/2082
KSBBL,Kamana Sewa Bikas Bank Limited,10,5.7895,15.7895,2025-09-07,2025-09-24,2081/2082
NLO,Nepal Lube Oil Limited,20,1.0526,21.0526,2025-09-18,2025-09-28,2081/2082
NABILINV,Nabil Investment Banking Limited,25,1.3158,,2025-09-18,2025-09-28,2081/2082
NFML,National Fund Management Limited,4,0.2105,4.2105,2025-09-25,2025-10-05,2081/2082
BGWT,Bhagawati Hydropower Development Company Limited,14,6,20,2025-09-28,2025-10-07,2081/2082
MFIL,Manjushree Finance Limited,0,15,15,2025-09-23,2025-10-08,2081/2082
EBL,Everest Bank Limited,6,14,20,2025-09-04,2025-10-10,2081/2082
SANIMA,Sanima Bank Limited,0,7.3685,7.3685,2025-09-21,2025-10-13,2081/2082
MNBBL,Muktinath Bikas Bank Limited,13.53,4.67,18.2,2025-09-18,2025-10-17,2081/2082
MKCL,Muktinath Krishi Company Limited,8,0.42,8.42,2025-10-12,2025-10-31,2081/2082
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2025-09-25,2025-10-31,2081/2082
GBIME,Global IME Bank Limited,0,8,8,2025-10-12,2025-11-02,2081/2082
CZBIL,Citizens Bank International Limited,5,0.263,5.263,2025-09-26,2025-11-03,2081/2082
SBL,Siddhartha Bank Limited,5,5.53,10.53,2025-10-08,2025-11-03,2081/2082
GBBL,Garima Bikas Bank Limited,6,4.53,10.53,2025-10-14,2025-11-04,2081/2082
HDL,Himalayan Distillery Limited,20,5,25,2025-10-17,2025-11-06,2081/2082
MDB,Miteri Development Bank Limited,0,10,10,2025-10-16,2025-11-09,2081/2082
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,0,8,8,2025-09-28,2025-11-11,2081/2082
SAHAS,Sahas Urja Limited,21,1.1053,22.1053,2025-11-11,2025-11-21,2081/2082
SHL,Soaltee Hotel Limited,15,16.5789,31.5789,2025-10-29,2025-11-21,2081/2082
NRN,NRN Infrastructure and Development Limited,40,2.105,42.105,2025-11-12,2025-11-27,2081/2082
SHIVM,Shivam Cements Limited,2.5,10,12.5,2025-11-17,2025-11-27,2081/2082
SARBTM,Sarbottam Cement Limited,5,15,20,2025-11-19,2025-11-28,2081/2082
SHINE,Shine Resunga Development Bank Limited,3,10,13,2025-11-09,2025-11-28,2081/2082
NIFRA,Nepal Infrastructure Bank Limited,,6.3158,6.3158,2025-09-05,2025-11-28,2081/2082
NGPL,Ngadi Group Power Limited,4.75,0.25,5,2025-11-19,2025-11-30,2081/2082
ADBL,Agricultural Development Bank Limited,3.25,9.75,13,2025-11-06,2025-11-30,2081/2082
BARUN,Barun Hydropower Company Limited,4.75,0.25,5,2025-11-20,2025-11-30,2081/2082
SCB,Standard Chartered Bank Nepal Limited,0.00,19.00,19.00,2025-10-17,2025-12-02,2081/2082
MEN,Mountain Energy Nepal Limited,20.00,1.0526,21.0526,2025-11-07,2025-12-03,2081/2082
SMHL,Super Madi Hydropower Limited,5.00,0.2632,5.2632,2025-11-21,2025-12-03,2081/2082
SIKLES,Sikles Hydropower Limited,15.00,0.789,15.789,2025-08-11,2025-12-04,2081/2082
ICFC,ICFC Finance Limited,0.00,15.7895,15.7895,2025-11-09,2025-12-05,2081/2082
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,9.5,0.5,10.00,2025-11-28,2025-12-08,2081/2082
SADBL,Shangrila Development Bank Limited,5.00,5.3583,10.3583,2025-11-16,2025-12-09,2081/2082
GCIL,Ghorahi Cement Industry Limited,10.00,0.5263,10.5263,2025-11-30,2025-12-12,2081/2082
LSL,Laxmi Sunrise Bank Limited,10.00,0.53,10.53,2025-11-17,2025-12-16,2081/2082
KDL,Kalinchowk Darshan Limited,5.00,0.2632,5.2632,2025-11-27,2025-12-16,2081/2082
SBI,Nepal SBI Bank Limited,4.00,5.00,9.00,2025-11-25,2025-12-19,2081/2082
NLIC,Nepal Life Insurance Company Limited,5.00,16.05,21.05,2025-12-11,2025-12-22,2081/2082
SHEL,Singati Hydro Energy Limited,5.00,0.00,5.00,2025-11-05,2025-12-22,2081/2082
TRH,Taragaon Regency Hotel Limited,0.00,5.00,5.00,2025-12-09,2025-12-22,2081/2082
MLBL,Mahalaxmi Bikas Bank Limited,5.00,5.37,10.37,2025-11-03,2025-12-22,2081/2082
NHDL,Nepal Hydro Developer Limited,9.00,0.47,9.47,2025-11-16,2025-12-22,2081/2082
HIDCL,Hydroelectricity Investment and Development Company Limited,1.5,2.00,3.5,2025-12-14,2025-12-23,2081/2082
CLI,Citizen Life Insurance Company Limited,0.00,20.00,20.00,2025-12-10,2025-12-23,2081/2082
NMB,NMB Bank Limited,5.00,5.00,10.00,2025-11-23,2025-12-24,2081/2082
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-11-12,2025-12-24,2081/2082
ILI,IME Life Insurance Company Limited,0.00,10.5263,10.5263,2025-12-12,2025-12-26,2081/2082
SRLI,Sanima Reliance Life Insurance Limited,0.00,10.178,10.178,2025-12-16,2025-12-26,2081/2082
CGH,Chandragiri Hills Limited,5.00,0.2632,5.2632,2025-12-16,2025-12-26,2081/2082
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,5.6365,4.3635,10.00,2025-11-20,2025-12-28,2081/2082
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10.00,5.789,15.789,2025-12-19,2025-12-28,2081/2082
MSHL,Mid Solu Hydropower Company Limited,15.00,0.789,15.789,2025-08-28,2025-12-28,2081/2082
SPDL,Synergy Power Development Limited,10.00,0.5263,10.5263,2025-12-21,2025-12-29,2081/2082
NICL,Nepal Insurance Company Limited,0.00,6.3158,6.3158,2025-12-18,2025-12-29,2081/2082
SICL,Shikhar Insurance Company Limited,6.00,0.3158,6.3158,2025-12-17,2025-12-29,2081/2082
SNLI,Sun Nepal Life Insurance Company Limited,5.00,15.2632,20.2632,2025-12-18,2025-12-29,2081/2082
KBSH,Kutheli Bukhari Small Hydropower Limited,10.00,0.5236,10.5236,2025-12-12,2025-12-29,2081/2082
BPCL,Butwal Power Company Limited,0.00,6.00,6.00,2025-12-19,2025-12-30,2081/2082
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-21,2025-12-31,2081/2082
IGI,IGI Prudential Insurance Limited,0.00,5.00,5.00,2025-12-11,2025-12-31,2081/2082
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,12.5,12.5,25.00,2025-12-16,2025-12-31,2081/2082
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10.00,5.00,15.00,2025-12-11,2025-12-31,2081/2082
SMB,Support Laghubitta Bittiya Sanstha Limited,9.5,0.5,10.00,2025-12-21,2025-12-31,2081/2082
NABIL,Nabil Bank Limited,0.00,12.5,12.5,2025-12-07,2025-12-31,2081/2082
CHCL,Chilime Hydro power Company Limited,8.00,4.00,12.00,2025-12-24,2026-01-01,2081/2082
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,0.00,6.5,6.5,2025-12-11,2026-01-01,2081/2082
UHEWA,Upper Hewakhola Hydropower Company Limited,15.00,0.789,15.789,2025-12-23,2026-01-01,2081/2082
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-21,2026-01-01,2081/2082
NLICL,National Life Insurance Company Limited,4.00,8.5,12.5,2025-12-18,2026-01-01,2081/2082
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,5.00,7.00,12.00,2025-12-18,2026-01-01,2081/2082
ENL,Emerging Nepal Limited,0.00,5.2632,5.2632,2025-12-15,2026-01-01,2081/2082
GRDBL,Green Development Bank Limited,8.0396,0.4231,8.4627,2025-11-27,2026-01-01,2081/2082
LICN,Life Insurance Corporation Nepal Limited,0.00,21.05,21.05,2025-12-21,2026-01-01,2081/2082
GILB,Global IME Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-21,2026-01-02,2081/2082
SIFC,Shree Investment Finance Company Limited,0.00,6.4,6.4,2025-11-25,2026-01-02,2081/2082
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5.00,0.2632,5.2632,2025-12-14,2026-01-02,2081/2082
UMRH,United Idi-Mardi and R.B. Hydropower Limited,5.00,0.26,5.26,2025-12-15,2026-01-02,2081/2082
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),6.65,0.35,7.00,2025-11-28,2026-01-02,2081/2082
SPIL,Siddhartha Premier Insurance Limited,0.00,25.00,25.00,2025-12-12,2026-01-02,2081/2082
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-23,2026-01-02,2081/2082
API,Api Power Company Limited,5.00,0.2632,5.2632,2025-12-23,2026-01-02,2081/2082
SJLIC,SuryaJyoti Life Insurance Company Limited,0.00,13.00,13.00,2025-12-21,2026-01-02,2081/2082
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-21,2026-01-02,2081/2082
AHPC,Arun Valley Hydropower Development Company Limited,5.00,0.263,5.263,2025-09-18,2026-01-02,2081/2082
KPCL,Kalika Power Company Limited,7.00,0.3684,7.3684,2025-12-22,2026-01-02,2081/2082
SALICO,Sagarmatha Lumbini Insurance Company Limited,0.00,15.00,15.00,2025-12-19,2026-01-04,2081/2082
NTC,Nepal Doorsanchar Company Limited,0.00,30.00,30.00,2025-12-24,2026-01-04,2081/2082
RNLI,Reliable Nepal Life Insurance Limited,0.00,12.00,12.00,2025-12-21,2026-01-05,2081/2082
HEI,Himalayan Everest Insurance Limited,0.00,8.00,8.00,2025-12-28,2026-01-05,2081/2082
CIT,Citizen Investment Trust,5.00,8.00,13.00,2025-12-22,2026-01-05,2081/2082
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,14.00,0.7368,14.7368,2025-12-14,2026-01-05,2081/2082
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,4.00,4.421,8.421,2025-12-18,2026-01-05,2081/2082
PCBL,Prime Commercial Bank Limited,8.00,0.421,8.421,2025-12-19,2026-01-05,2081/2082
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,10.00,0.5263,10.5263,2025-12-21,2026-01-05,2081/2082
NLG,NLG Insurance Company Limited,4.00,3.3684,7.3684,2025-12-23,2026-01-06,2081/2082
BHDC,Bindhyabasini Hydropower Development Company Limited,5.00,0.2632,5.2632,2025-12-23,2026-01-06,2081/2082
NMFBS,National Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-17,2026-01-06,2081/2082
